,LoadCap,vdd,number_fin
0,1f,0.6,3
1,1f,0.6,4
2,1f,0.6,5
3,1f,0.7,3
4,1f,0.7,4
5,1f,0.7,5
6,1f,0.8,3
7,1f,0.8,4
8,1f,0.8,5
9,1f,0.9,3
10,1f,0.9,4
11,1f,0.9,5
12,4f,0.6,3
13,4f,0.6,4
14,4f,0.6,5
15,4f,0.7,3
16,4f,0.7,4
17,4f,0.7,5
18,4f,0.8,3
19,4f,0.8,4
20,4f,0.8,5
21,4f,0.9,3
22,4f,0.9,4
23,4f,0.9,5
24,8f,0.6,3
25,8f,0.6,4
26,8f,0.6,5
27,8f,0.7,3
28,8f,0.7,4
29,8f,0.7,5
30,8f,0.8,3
31,8f,0.8,4
32,8f,0.8,5
33,8f,0.9,3
34,8f,0.9,4
35,8f,0.9,5
36,16f,0.6,3
37,16f,0.6,4
38,16f,0.6,5
39,16f,0.7,3
40,16f,0.7,4
41,16f,0.7,5
42,16f,0.8,3
43,16f,0.8,4
44,16f,0.8,5
45,16f,0.9,3
46,16f,0.9,4
47,16f,0.9,5
